institution_id,institution_name,country,branch_of_government,level_of_government,has_genai_activity,n_total_rows,n_runs_covered,runs,n_activity_source_rows,activities_found,tools_found,best_summary
EXT-existing-gpt-con-01c3d635a1,Punjab & Haryana High Court (Judiciary),India,judicial,subnational,yes,1,1,existing_gpt_convenience_v1,1,Punjab & Haryana High Court bail order referencing ChatGPT,ChatGPT,Punjab & Haryana High Court (Judiciary) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-0208536702,Futian District Government (福田区),China,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Shenzhen (Futian District) DeepSeek-based ‘AI digital employees’ for government workflows,DeepSeek,Futian District Government (福田区) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-04762d5ad9,"Federal Ministry of Communications, Innovation and Digital Economy (Nigeria)",Nigeria,executive,national,yes,2,1,existing_gpt_convenience_v1,2,AI model to digitize Nigeria’s national archive; exploring Copilot model for government data (Nigeria); Support for local startup to build a large language model (Nigeria),Copilot,"Federal Ministry of Communications, Innovation and Digital Economy (Nigeria) has a legacy database record documenting generative AI activity."
EXT-existing-gpt-con-052db7f05c,"Federal Ministry of Communications, Innovation and Digital Economy; NITDA (NCAIR)",Nigeria,executive,national,yes,1,1,existing_gpt_convenience_v1,1,N-ATLaS open-source multilingual large language model (Nigeria),,"Federal Ministry of Communications, Innovation and Digital Economy; NITDA (NCAIR) has a legacy database record documenting generative AI activity."
EXT-existing-gpt-con-05440a02ca,Gobierno de la Provincia de Córdoba,Argentina,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Agente CiDi – Provincia de Córdoba,,Gobierno de la Provincia de Córdoba has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-0928f5780f,Yokohama City (横浜市),Japan,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Yokohama City proof-of-concept for generative AI in municipal operations (Azure OpenAI),OpenAI,Yokohama City (横浜市) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-09b22e4246,City of Kigali (proposal submitter),Rwanda,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,"UbukiAI (ChatGPT-4-powered beekeeping chatbot proposal, Kigali)",ChatGPT,City of Kigali (proposal submitter) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-0a64693b65,Statistics Canada,Canada,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Statistics Canada internal use of government-approved GenAI tools,,Statistics Canada has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-19240d1521,Vietnam Posts and Telecommunications Group (VNPT) with government agencies (administrative procedure systems),Vietnam,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,VNPT AI generative assistants for administrative procedures (Citizen–Enterprise assistant),,Vietnam Posts and Telecommunications Group (VNPT) with government agencies (administrative procedure systems) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-1a2f9e5c37,Bureau of the Treasury (Department of Finance),Philippines,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Microsoft 365 Copilot licenses procurement (Bureau of the Treasury),Microsoft 365 Copilot,Bureau of the Treasury (Department of Finance) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-1af0b3bfe8,Employment and Social Development Canada (ESDC) / Shared Services Canada (SSC),Canada,executive,national,yes,1,1,existing_gpt_convenience_v1,1,EVA chatbot (Employment and Social Development Canada + SSC),,Employment and Social Development Canada (ESDC) / Shared Services Canada (SSC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-1ba6b58bb7,Laboratorio de Gobierno (GovTech Chile),Chile,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,IA Generativa para automatizar permisos de edificación – GovTech Chile (LabGob),,Laboratorio de Gobierno (GovTech Chile) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-1e3f44cf68,Yokosuka City (横須賀市),Japan,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Yokosuka City Hall ChatGPT all-department PoC (LoGoChat integration),ChatGPT,Yokosuka City (横須賀市) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-23212d07a3,New Taipei City Government – Land Administration Bureau (新北市地政局),Taiwan,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,New Taipei City Land Administration: ‘AI smart customer service’ built with generative AI (Mandarin/Taiwanese/English),,New Taipei City Government – Land Administration Bureau (新北市地政局) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-269d3d4512,Kenya Health Information Management Information System (KeHMIS) project; National AIDS & STI Control Programme (NASCOP),Kenya,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,"Nuru chatbot (Nishauri app / KeHMIS, Kenya)",OpenAI,Kenya Health Information Management Information System (KeHMIS) project; National AIDS & STI Control Programme (NASCOP) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-278eb4bbb9,Ministry of Digital (Malaysia),Malaysia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,AI at Work 2.0 (Malaysia public service – Google Workspace with Gemini),Gemini,Ministry of Digital (Malaysia) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-287b2bb766,Unique Identification Authority of India (UIDAI),India,executive,national,yes,1,1,existing_gpt_convenience_v1,1,UIDAI × Sarvam AI GenAI for Aadhaar services,,Unique Identification Authority of India (UIDAI) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-3231017095,Ministry of Earth Sciences / India Meteorological Department ecosystem,India,executive,national,yes,1,1,existing_gpt_convenience_v1,1,MausamGPT (Mausam Generative Pre-trained Transformer) climate-service chatbot,,Ministry of Earth Sciences / India Meteorological Department ecosystem has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-349ac51e13,Ministerio de Educación (Mineduc),Chile,executive,national,yes,1,1,existing_gpt_convenience_v1,1,ChatSP (Chat Sumo Primero) – Ministerio de Educación de Chile,,Ministerio de Educación (Mineduc) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-39b887d9ed,Canada Revenue Agency (CRA),Canada,executive,national,yes,1,1,existing_gpt_convenience_v1,1,CRA generative AI chatbot (public beta testing),,Canada Revenue Agency (CRA) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-3acb56a06c,Universidad Técnica de Machala (UTMACH),Ecuador,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Licencias ChatGPT Plus – Universidad Técnica de Machala (Ecuador),ChatGPT,Universidad Técnica de Machala (UTMACH) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-3b9eb25ea7,Tribunal de Contas do Estado do Paraná (TCE-PR),Brazil,judicial,subnational,yes,1,1,existing_gpt_convenience_v1,1,ChatTCEPR – Tribunal de Contas do Estado do Paraná (TCE-PR),ChatGPT,Tribunal de Contas do Estado do Paraná (TCE-PR) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-41a6fab939,Govt.nz team (New Zealand Government) / Digital.govt.nz,New Zealand,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Govt.nz AI assistant pilot,,Govt.nz team (New Zealand Government) / Digital.govt.nz has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-444df359ea,Government of Mauritius,Mauritius,unknown,national,yes,2,1,existing_gpt_convenience_v1,2,AI-powered multilingual virtual assistant for financial products (Mauritius); DIVA (Government of Mauritius virtual assistant),ChatGPT,Government of Mauritius has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-4610924f6c,Saudi Data & AI Authority (SDAIA),Saudi Arabia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Saudi SDAIA ‘ALLaM’ large language model / app (government-developed LLM),,Saudi Data & AI Authority (SDAIA) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-515db7ba28,Poder Judicial de la República Dominicana,Dominican Republic,judicial,national,yes,1,1,existing_gpt_convenience_v1,1,Poder Judicial RD — Azure OpenAI Service credits (procurement),OpenAI,Poder Judicial de la República Dominicana has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-538054c102,Defensoría del Pueblo de Panamá,Panama,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Panamá — Defensoría del Pueblo purchase of Microsoft 365 + 365 Copilot licenses,Microsoft 365 Copilot,Defensoría del Pueblo de Panamá has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-53ec28946e,Ministry of Health (Indonesia),Indonesia,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Generative AI testing environment for Indonesia Ministry of Health (Google Cloud partnership),,Ministry of Health (Indonesia) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-559d6876b3,Philippine Competition Commission (PCC),Philippines,executive,national,yes,1,1,existing_gpt_convenience_v1,1,Generative AI (Co-pilot) subscription procurement (Philippine Competition Commission),Microsoft 365 Copilot,Philippine Competition Commission (PCC) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-56a25c5399,Busan Metropolitan City (부산광역시),South Korea,unknown,subnational,yes,1,1,existing_gpt_convenience_v1,1,Busan Metropolitan City: ethical guideline for civil-servant GenAI use and planned ‘Busan AI administrative service’,,Busan Metropolitan City (부산광역시) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-5ce3957350,Government of Saudi Arabia (Humain One initiative),Saudi Arabia,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Saudi government deploys ‘Humain One’ AI assistant across government entities (reported by Reuters),,Government of Saudi Arabia (Humain One initiative) has a legacy database record documenting generative AI activity.
EXT-existing-gpt-con-5f496eeddb,Comando Conjunto de las Fuerzas Armadas,Ecuador,unknown,national,yes,1,1,existing_gpt_convenience_v1,1,Licencias ChatGPT Enterprise – Comando Conjunto de las FF.AA. (Ecuador),ChatGPT,Comando Conjunto de las Fuerzas Armadas has a legacy database record documenting generative AI activity.
